NP_ID,dimension,categorical_value,source_reference,denominator_metadata,ne_no_semantics,branch_configuration_label,provenance
NP04,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,terminal_weight_perturbation,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,single_criterion_deletion_preflight,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,single_criterion_deletion_execution,RESULT-PRODUCING,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP04,native_sensitivity,EXECUTED: 30 source-defined Eq. (31) scenarios,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,score_agreement,MIXED_2_OF_6_EXACT,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,terminal_weight_perturbation,APPLICABLE (6 co-primary configurations),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,single_criterion_deletion_preflight,APPLICABLE (C1-C5; C6 prospectively NE),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,single_criterion_deletion_execution,RESULT-PRODUCING (5 eligible deletions/configuration),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP05,native_sensitivity,NONE_SOURCE_DEFINED,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,terminal_weight_perturbation,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,single_criterion_deletion_preflight,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,single_criterion_deletion_execution,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP06,native_sensitivity,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,terminal_evaluability,PARTIALLY_EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,terminal_weight_perturbation,APPLICABLE (Kılıç baseline only),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,single_criterion_deletion_preflight,APPLICABLE (Kılıç baseline only),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,single_criterion_deletion_execution,RESULT-PRODUCING (Kılıç baseline only),INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP07,native_sensitivity,NE for exact linked CBDO replication,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,terminal_evaluability,NOT_TERMINALLY_EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,winner_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,complete_rank_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,score_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,terminal_weight_perturbation,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,single_criterion_deletion_preflight,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,single_criterion_deletion_execution,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP08,native_sensitivity,NE_METHOD_OR_SOURCE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,terminal_evaluability,NOT_EVALUABLE_LITERAL_METHOD_NONFINITE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,winner_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,complete_rank_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,score_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,terminal_weight_perturbation,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,single_criterion_deletion_preflight,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,single_criterion_deletion_execution,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP09,native_sensitivity,NE_METHOD_OR_SOURCE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,terminal_evaluability,NOT_UNIQUELY_EVALUABLE_FROM_SUPPLIED_PUBLIC_SOURCE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,winner_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,complete_rank_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,score_agreement,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,terminal_weight_perturbation,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,single_criterion_deletion_preflight,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,single_criterion_deletion_execution,NE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP10,native_sensitivity,NE_METHOD_OR_SOURCE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,score_agreement,NO,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,terminal_weight_perturbation,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,single_criterion_deletion_preflight,APPLICABLE AT PREFLIGHT,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,single_criterion_deletion_execution,NE UNDER PRESPECIFIED REDUCED-LFPP SOLVER/NONUNIQUENESS CONDITION,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP11,native_sensitivity,NONE_SOURCE_DEFINED,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,terminal_evaluability,EVALUABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,winner_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,complete_rank_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,score_agreement,YES,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,terminal_weight_perturbation,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,single_criterion_deletion_preflight,APPLICABLE,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,single_criterion_deletion_execution,RESULT-PRODUCING,INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
NP12,native_sensitivity,"EXECUTED: q/v ∈ {0,0.25,0.5,0.75,1}; 5/5 source comparisons matched",INTEGRATED_EVIDENCE_MATRIX,12 lineages; categorical evidence matrix; no ordinal quality score,NE distinct from NO,NP05 configurations stay within one lineage; NP03 branches not split into lineages,results/reference/resolved/INTEGRATED_EVIDENCE_MATRIX.csv
