NP_ID,configuration_or_branch,deleted_criterion,applicability,operation_type,source_checkpoint,baseline_id,baseline_role,baseline_winner,baseline_complete_weak_order,note,scope,terminal_weight_perturbation_rerun,native_sensitivity,decision_matrix_perturbation
NP02,NP02_PRIMARY,C4_Provider_services,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP02/NP02_EXTRACTION.csv — reduced criteria AHP matrix + retained local alternative priorities,NP02_PRIMARY,PRIMARY,ERP_A,ERP_A > ERP_B,,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP02,NP02_PRIMARY,C5_Implementation_approach,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,data/standardized/runtime/R1A/NP02/NP02_EXTRACTION.csv — reduced criteria AHP matrix + retained local alternative priorities,NP02_PRIMARY,PRIMARY,ERP_A,ERP_A > ERP_B,,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP01,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP02,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP03,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP04,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP05,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP06,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP07,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP08,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP09,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP10,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP11,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP12,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP13,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP14,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,A_STRICT_EXPLICIT_DIRECTION,ERP15,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP01,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP02,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP03,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP04,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP05,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP06,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP07,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP08,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP09,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP10,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP11,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP12,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP13,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP14,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP03,ERP04_COST_PARALLEL,ERP15,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1A/NP03/NP03_EXTRACTION.csv — Table-3 normalized D2 checkpoint + Table-2 scalar weights,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,same deleted criterion in both prospectively fixed direction branches,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,EIS,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,SR,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,CMI,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,CS,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,EU,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,RS,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,SFR,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,QSS,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,F,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,IC,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
NP04,NP04_PRIMARY,PC,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,data/standardized/runtime/R1B/NP04/NP04_INTERMEDIATES.csv — prespecified primary literal rough normalized matrix + printed rough weights,NP04_PRIMARY_LITERAL,PRIMARY,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,remaining rough weights unchanged; no interval collapse; no Table-6/rounding explanatory comparison outside the primary reconstruction,SINGLE_CRITERION_DELETION_ONLY,NO,NO,NO
