input_id,kind,expert,alternative,criterion,value_text,value1,value2,value3,direction,source_status,source_locator
R_E1_A1_C12,rating,DE1,A1,C12,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C13,rating,DE1,A1,C13,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C14,rating,DE1,A1,C14,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C15,rating,DE1,A1,C15,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A1_C16,rating,DE1,A1,C16,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C1,rating,DE1,A2,C1,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C2,rating,DE1,A2,C2,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C3,rating,DE1,A2,C3,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C4,rating,DE1,A2,C4,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C5,rating,DE1,A2,C5,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C6,rating,DE1,A2,C6,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C7,rating,DE1,A2,C7,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C8,rating,DE1,A2,C8,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C9,rating,DE1,A2,C9,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C10,rating,DE1,A2,C10,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C11,rating,DE1,A2,C11,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C12,rating,DE1,A2,C12,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C13,rating,DE1,A2,C13,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C14,rating,DE1,A2,C14,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C15,rating,DE1,A2,C15,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A2_C16,rating,DE1,A2,C16,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C1,rating,DE1,A3,C1,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C2,rating,DE1,A3,C2,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C3,rating,DE1,A3,C3,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C4,rating,DE1,A3,C4,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C5,rating,DE1,A3,C5,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C6,rating,DE1,A3,C6,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C7,rating,DE1,A3,C7,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C8,rating,DE1,A3,C8,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C9,rating,DE1,A3,C9,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C10,rating,DE1,A3,C10,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C11,rating,DE1,A3,C11,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C12,rating,DE1,A3,C12,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C13,rating,DE1,A3,C13,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C14,rating,DE1,A3,C14,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C15,rating,DE1,A3,C15,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E1_A3_C16,rating,DE1,A3,C16,VL,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C1,rating,DE2,A1,C1,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C2,rating,DE2,A1,C2,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C3,rating,DE2,A1,C3,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C4,rating,DE2,A1,C4,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C5,rating,DE2,A1,C5,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C6,rating,DE2,A1,C6,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C7,rating,DE2,A1,C7,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C8,rating,DE2,A1,C8,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C9,rating,DE2,A1,C9,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C10,rating,DE2,A1,C10,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C11,rating,DE2,A1,C11,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C12,rating,DE2,A1,C12,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C13,rating,DE2,A1,C13,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C14,rating,DE2,A1,C14,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C15,rating,DE2,A1,C15,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A1_C16,rating,DE2,A1,C16,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C1,rating,DE2,A2,C1,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C2,rating,DE2,A2,C2,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C3,rating,DE2,A2,C3,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C4,rating,DE2,A2,C4,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C5,rating,DE2,A2,C5,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C6,rating,DE2,A2,C6,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C7,rating,DE2,A2,C7,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C8,rating,DE2,A2,C8,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C9,rating,DE2,A2,C9,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C10,rating,DE2,A2,C10,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C11,rating,DE2,A2,C11,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C12,rating,DE2,A2,C12,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C13,rating,DE2,A2,C13,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C14,rating,DE2,A2,C14,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C15,rating,DE2,A2,C15,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A2_C16,rating,DE2,A2,C16,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C1,rating,DE2,A3,C1,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C2,rating,DE2,A3,C2,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C3,rating,DE2,A3,C3,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C4,rating,DE2,A3,C4,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C5,rating,DE2,A3,C5,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C6,rating,DE2,A3,C6,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C7,rating,DE2,A3,C7,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C8,rating,DE2,A3,C8,VL,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C9,rating,DE2,A3,C9,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C10,rating,DE2,A3,C10,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C11,rating,DE2,A3,C11,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C12,rating,DE2,A3,C12,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C13,rating,DE2,A3,C13,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C14,rating,DE2,A3,C14,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C15,rating,DE2,A3,C15,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E2_A3_C16,rating,DE2,A3,C16,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C1,rating,DE3,A1,C1,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C2,rating,DE3,A1,C2,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C3,rating,DE3,A1,C3,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C4,rating,DE3,A1,C4,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C5,rating,DE3,A1,C5,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C6,rating,DE3,A1,C6,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C7,rating,DE3,A1,C7,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C8,rating,DE3,A1,C8,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C9,rating,DE3,A1,C9,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C10,rating,DE3,A1,C10,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C11,rating,DE3,A1,C11,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C12,rating,DE3,A1,C12,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C13,rating,DE3,A1,C13,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C14,rating,DE3,A1,C14,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C15,rating,DE3,A1,C15,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A1_C16,rating,DE3,A1,C16,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C1,rating,DE3,A2,C1,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C2,rating,DE3,A2,C2,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C3,rating,DE3,A2,C3,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C4,rating,DE3,A2,C4,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C5,rating,DE3,A2,C5,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C6,rating,DE3,A2,C6,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C7,rating,DE3,A2,C7,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C8,rating,DE3,A2,C8,VVH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C9,rating,DE3,A2,C9,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C10,rating,DE3,A2,C10,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C11,rating,DE3,A2,C11,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C12,rating,DE3,A2,C12,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C13,rating,DE3,A2,C13,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C14,rating,DE3,A2,C14,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C15,rating,DE3,A2,C15,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A2_C16,rating,DE3,A2,C16,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C1,rating,DE3,A3,C1,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C2,rating,DE3,A3,C2,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C3,rating,DE3,A3,C3,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C4,rating,DE3,A3,C4,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C5,rating,DE3,A3,C5,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C6,rating,DE3,A3,C6,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C7,rating,DE3,A3,C7,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C8,rating,DE3,A3,C8,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C9,rating,DE3,A3,C9,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C10,rating,DE3,A3,C10,L,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C11,rating,DE3,A3,C11,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C12,rating,DE3,A3,C12,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C13,rating,DE3,A3,C13,VL,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C14,rating,DE3,A3,C14,VH,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C15,rating,DE3,A3,C15,M,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
R_E3_A3_C16,rating,DE3,A3,C16,H,,,,,SOURCE_EXPLICIT,"PDF p.9, Table 2"
WB_C1,weight_bound,,,C1,,0.015,0.025,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C2,weight_bound,,,C2,,0.25,0.265,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C3,weight_bound,,,C3,,0.05,0.055,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C4,weight_bound,,,C4,,0.01,0.02,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C5,weight_bound,,,C5,,0.04,0.05,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C6,weight_bound,,,C6,,0.03,0.035,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C7,weight_bound,,,C7,,0.065,0.075,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C8,weight_bound,,,C8,,0.04,0.05,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C9,weight_bound,,,C9,,0.04,0.045,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C10,weight_bound,,,C10,,0.06,0.07,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C11,weight_bound,,,C11,,0.1,0.105,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C12,weight_bound,,,C12,,0.12,0.125,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C13,weight_bound,,,C13,,0.065,0.075,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C14,weight_bound,,,C14,,0.1,0.105,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C15,weight_bound,,,C15,,0.01,0.015,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
WB_C16,weight_bound,,,C16,,0.005,0.01,,,SOURCE_EXPLICIT,"PDF p.10, LPP constraints immediately before Step 5"
DIR_C1,criterion_direction,,,C1,criterion label explicitly Cost,,,,cost,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C2,criterion_direction,,,C2,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C3,criterion_direction,,,C3,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C4,criterion_direction,,,C4,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C5,criterion_direction,,,C5,criterion label Implementation Time,,,,cost,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C6,criterion_direction,,,C6,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C7,criterion_direction,,,C7,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C8,criterion_direction,,,C8,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C9,criterion_direction,,,C9,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C10,criterion_direction,,,C10,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C11,criterion_direction,,,C11,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C12,criterion_direction,,,C12,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C13,criterion_direction,,,C13,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C14,criterion_direction,,,C14,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C15,criterion_direction,,,C15,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
DIR_C16,criterion_direction,,,C16,criterion treated as beneficial capability/quality,,,,benefit,INTERPRETIVE_METHOD_MAPPING,"PDF pp.7–9, criterion descriptions; Qb/Qn not explicitly enumerated"
P_PRIMARY,parameter,,,,p,0.5,,,,SOURCE_EXPLICIT,"PDF p.10, sentence reporting UFD calculation “taking p = 0.5”"
