record_type,NP_ID,unit_id,action,parameter_or_target,value_or_factor,source_checkpoint,baseline_specification,downstream_rule,source_comparison,notes
CASE_INVENTORY,NP11,NP11,NONE_SOURCE_DEFINED,,,No additional source-defined native sensitivity; solver starts/tolerances/M/DEMATEL prohibited as levers,prespecified baseline,No execution,,LFPP numerical conventions and the single-criterion deletion specification are held fixed for this source-defined sensitivity analysis.
CASE_INVENTORY,NP12,NP12,EXECUTED_NATIVE_SENSITIVITY,,,Başar & Arslan 2017 source-reported VIKOR q/v sweep,prespecified baseline,See EXECUTION_UNIT rows,,"Exactly q/v={0,0.25,0.50,0.75,1.00}; q=0.50 remains the prespecified baseline for terminal-weight perturbation and single-criterion deletion analyses."
EXECUTION_UNIT,NP04,S1,RUN_SOURCE_DEFINED_EQ31,PC,0.95,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S1; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S2,RUN_SOURCE_DEFINED_EQ31,PC,0.85,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S2; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S3,RUN_SOURCE_DEFINED_EQ31,PC,0.75,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S3; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S4,RUN_SOURCE_DEFINED_EQ31,PC,0.65,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S4; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S5,RUN_SOURCE_DEFINED_EQ31,PC,0.55,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S5; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S6,RUN_SOURCE_DEFINED_EQ31,PC,0.45,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S6; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S7,RUN_SOURCE_DEFINED_EQ31,PC,0.35,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S7; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S8,RUN_SOURCE_DEFINED_EQ31,PC,0.25,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S8; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S9,RUN_SOURCE_DEFINED_EQ31,PC,0.15,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S9; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S10,RUN_SOURCE_DEFINED_EQ31,PC,0.05,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S10; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S11,RUN_SOURCE_DEFINED_EQ31,EU,0.95,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S11; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S12,RUN_SOURCE_DEFINED_EQ31,EU,0.85,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S12; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S13,RUN_SOURCE_DEFINED_EQ31,EU,0.75,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S13; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S14,RUN_SOURCE_DEFINED_EQ31,EU,0.65,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S14; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S15,RUN_SOURCE_DEFINED_EQ31,EU,0.55,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S15; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S16,RUN_SOURCE_DEFINED_EQ31,EU,0.45,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S16; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S17,RUN_SOURCE_DEFINED_EQ31,EU,0.35,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S17; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S18,RUN_SOURCE_DEFINED_EQ31,EU,0.25,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S18; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S19,RUN_SOURCE_DEFINED_EQ31,EU,0.15,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S19; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S20,RUN_SOURCE_DEFINED_EQ31,EU,0.05,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S20; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S21,RUN_SOURCE_DEFINED_EQ31,MSC,0.95,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S21; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S22,RUN_SOURCE_DEFINED_EQ31,MSC,0.85,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S22; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S23,RUN_SOURCE_DEFINED_EQ31,MSC,0.75,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S23; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S24,RUN_SOURCE_DEFINED_EQ31,MSC,0.65,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S24; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S25,RUN_SOURCE_DEFINED_EQ31,MSC,0.55,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S25; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S26,RUN_SOURCE_DEFINED_EQ31,MSC,0.45,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S26; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S27,RUN_SOURCE_DEFINED_EQ31,MSC,0.35,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S27; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S28,RUN_SOURCE_DEFINED_EQ31,MSC,0.25,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S28; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S29,RUN_SOURCE_DEFINED_EQ31,MSC,0.15,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S29; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP04,S30,RUN_SOURCE_DEFINED_EQ31,MSC,0.05,NP04_Cao_2024 PDF sensitivity section Eq.(31); source workbook retained as source-as-published comparison evidence,NP04 prespecified primary literal raw-supplement alternative-performance reconstruction; Table-6/rounding explanatory comparison is outside the primary reconstruction,Regenerate rough lower/upper weights endpoint-wise by source-resolved Eq.(31); prespecified Rough-WISP chain,SOURCE-DEFINED SENSITIVITY SCOPE: source-reported sensitivity ranks and SOURCE_AS_PUBLISHED_WORKBOOK comparison,"S30; PRIMARY=SOURCE_DEFINED_EQ31; SECONDARY=SOURCE_AS_PUBLISHED_WORKBOOK; C1=RS,C2=IC,C3=SFR,C4=EU,C5=EIS,C6=SR,C7=PC,C8=F,C9=CMI,C10=QSS,C11=MSC,C12=CS"
EXECUTION_UNIT,NP12,Q_0.00,RUN_SOURCE_REPORTED_VIKOR_Q_SWEEP,q/v,0.00,NP12 prespecified extraction; source q-specific comparison records retained,NP12 source-defined q/v=0.50 reference baseline,"Use prespecified 18-criterion inputs; recompute S,R,Q and native VIKOR compromise conditions; preserve ties","SOURCE-DEFINED SENSITIVITY SCOPE: printed-precision S/R/Q, rank, and acceptability comparison",No interpolation; no q selection by outcome.
