input_id,kind,basis,row_id,col_id,l,m,u,value,source_status,source_locator,notes
ALT_C2_S1_S3,alternative_pairwise,C2,S1,S3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C2_S1_S4,alternative_pairwise,C2,S1,S4,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C2_S2_S3,alternative_pairwise,C2,S2,S3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C2_S2_S4,alternative_pairwise,C2,S2,S4,2,3,4,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C2_S3_S4,alternative_pairwise,C2,S3,S4,2,3,4,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C3_S1_S2,alternative_pairwise,C3,S1,S2,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C3_S1_S3,alternative_pairwise,C3,S1,S3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C3_S1_S4,alternative_pairwise,C3,S1,S4,0.2,0.25,0.3333333333333333,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C3_S2_S3,alternative_pairwise,C3,S2,S3,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C3_S2_S4,alternative_pairwise,C3,S2,S4,0.14285714285714285,0.16666666666666666,0.2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C3_S3_S4,alternative_pairwise,C3,S3,S4,0.2,0.25,0.3333333333333333,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C4_S1_S2,alternative_pairwise,C4,S1,S2,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C4_S1_S3,alternative_pairwise,C4,S1,S3,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C4_S1_S4,alternative_pairwise,C4,S1,S4,4,5,6,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C4_S2_S3,alternative_pairwise,C4,S2,S3,0.25,0.3333333333333333,0.5,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C4_S2_S4,alternative_pairwise,C4,S2,S4,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C4_S3_S4,alternative_pairwise,C4,S3,S4,3,4,5,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C5_S1_S2,alternative_pairwise,C5,S1,S2,1,2,3,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C5_S1_S3,alternative_pairwise,C5,S1,S3,0.5,1,2,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C5_S1_S4,alternative_pairwise,C5,S1,S4,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C5_S2_S3,alternative_pairwise,C5,S2,S3,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C5_S2_S4,alternative_pairwise,C5,S2,S4,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C5_S3_S4,alternative_pairwise,C5,S3,S4,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C6_S1_S2,alternative_pairwise,C6,S1,S2,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C6_S1_S3,alternative_pairwise,C6,S1,S3,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C6_S1_S4,alternative_pairwise,C6,S1,S4,0.16666666666666666,0.2,0.25,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C6_S2_S3,alternative_pairwise,C6,S2,S3,0.3333333333333333,0.5,1,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C6_S2_S4,alternative_pairwise,C6,S2,S4,0.125,0.14285714285714285,0.16666666666666666,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
ALT_C6_S3_S4,alternative_pairwise,C6,S3,S4,0.125,0.14285714285714285,0.16666666666666666,,SOURCE_EXPLICIT,"PDF p.8, Table 3",
LFPP_M,parameter,LFPP,,,,,,1000,SOURCE_EXPLICIT,"PDF p.6, text under Eq. (3): M is a large constant value, 10^3",
